"Row Labels","Count of substance","Sum of quantity","SUPER_SPECIAL_SUB_NAME","SUB_TYPE","Direct 1","Direct 2","Direct 3","Direct 4","Processed 1","Processed 2","Processed 3","Processed 4","Substitute 1","Substitute 2","Substitute 3","Substitute 4"
"Titanium in ore",7,1.05,"Spine_757","m",,,,,,,,,,,,
"TMT 15",2,0.07,"Spine_758","m",,,,,,,,,,,,
"Tools",1,3.83,"Spine_759","m",,,,,,,,,,,,
"Top coat",1,0,"Spine_760","m",,,,,,,,,,,,
"Transformer oil",2,0.11,"Spine_761","m",,,,,,,,,,,,
"Tree plants",1,2400,"Spine_762","m",,,,,,,,,,,,
"Triacetin",1,0.23,"Spine_763","m",,,,,,,,,,,,
"Trichlorethylene",1,0.9,"Spine_764","m",,,,,,,,,,,,
"Trietanolamin",1,0,"Spine_765","m",,,,,,,,,,,,
"Trinatriumfosfat",2,0,"Spine_766","m",,,,,,,,,,,,
"Trisodium Citrate",1,0.01,"Spine_767","m",,,,,,,,,,,,
"Trisodium phosphate",3,0,"Spine_768","m",,,,,,,,,,,,
"Trona",1,0.3,"Spine_769","m",,,,,,,,,,,,
"TUFF 100",2,0.15,"Spine_770","m",,,,,,,,,,,,
"Turbine water amount",5,6648730,"Spine_771","m",,,,,,,,,,,,
"Turned brass cylinders",1,205,"Spine_772","m",,,,,,,,,,,,
"Underbody paste",1,1.06,"Spine_773","m",,,,,,,,,,,,
"Unspecified energy",7,0.5,"Spine_774","e",,,,,,,,,,,,
"Unspecified fuel",3,0,"Spine_775","f"," EWC_074"," EWC_075"," EWC_072"," EWC_076"," EWC_11_NOT_113",,,,,,,
"Uranium in ore",25,50.53,"Spine_776","m",,,,,,,,,,,,
"Uranium ore",7,110.95,"Spine_777","m",,,,,,,,,,,,
"Urea",3,1.93,"Spine_778","m",,,,,,,,,,,,
"Varistor",1,1,"Spine_779","m",,,,,,,,,,,,
"Velvet",1,0,"Spine_780","m",,,,,,,,,,,,
"Video printed circuit board",1,1,"Spine_781","m",,,,,,,,,,,,
"Vitam GF 32",1,360,"Spine_782","m",,,,,,,,,,,,
"Vitam GF 46",1,480,"Spine_783","m",,,,,,,,,,,,
"Vitam GF 68",1,1200,"Spine_784","m",,,,,,,,,,,,
"Washer",1,3,"Spine_785","m",,,,,,,,,,,,
"Washing soda",1,0.01,"Spine_786","m",,,,,,,,,,,,
"Washing waxes",1,0.01,"Spine_787","m",,,,,,,,,,,,
"Waste",2,2,"Spine_788","w"," EWC_072"," EWC_074"," EWC_075"," EWC_076",,,,,,,,
"Waste oil",5,154.17,"Spine_789","f","EWC_013",,,,,,,,,,,
"Waste paper",1,0.01,"Spine_790","w"," EWC_072",,,,,,,,,,,
"Waste to landfill",1,1,"Spine_791","w",,,,,,,,,,,,
"Water",71,665849022.91,"Spine_792","m",,,,,,,,,,,,
"Water-sludge",1,1,"Spine_793","m",,,,," EWC_11_NOT_113"," EWC_032",,,,,,
"Wave spring",1,1,"Spine_794","m",,,,,,,,,,,,
"Wave spring washer",1,1,"Spine_795","m",,,,,,,,,,,,
"White Spirit",1,240,"Spine_796","m",,,,,,,,,,,,
"Willow",3,9.09,"Spine_797","m",,,,,,,,,,,,
"Willow seed",1,3361680,"Spine_798","m",,,,,,,,,,,,
"Wind energy",2,0.51,"Spine_799","e",,,,,,,,,,,,
"Wind power",6,9.64,"Spine_800","e",,,,,,,,,,,,
"Window",1,1,"Spine_801","m",,,,,,,,,,,,
"Window retainer",1,1,"Spine_802","m",,,,,,,,,,,,
"Wood",47,489833.99,"Spine_803","m",,,,," EWC_075",,,,,,,
"Wood chips",1,5,"Spine_804","m"," EWC_075",,,,,,,,,,,
"Wood Packing",1,51.95,"Spine_805","m",,,,," EWC_075",,,,,,,
"Wooden splits",1,0.28,"Spine_806","m",,,,," EWC_075",,,,,,,
"Working amount in water storages",5,25330.3,"Spine_807","g",,,,,,,,,,,,
"Xylene",1,0.3,"Spine_808","m",,,,,,,,,,,,
"Young forest area",1,1,"Spine_809","g",,,,,,,,,,,,
"Ytex 1610",2,0.09,"Spine_810","m",,,,,,,,,,,,
"Zeolite A",2,0.5,"Spine_811","m",,,,,,,,,,,,
"Zinc",3,6570,"Spine_812","m",,,,,,,,,,,,
"Zinc in ore",18,111.58,"Spine_813","m",,,,,,,,,,,,
"Zn",2,56.75,"Spine_814","m",,,,,,,,,,,,
"Zn-Ni ferrite core",1,2.2,"Spine_815","m",,,,,,,,,,,,
"Coal (energy resource)",4,9.4,"Spine_817","f",,,,," EWC_075"," EWC_074"," EWC_072",," EWC_11_NOT_113",,,
"Cr",3,118.02,"Spine_818","m",,,,,,,,,,,,
"Gas (energy resource)",4,52.97,"Spine_819","e",,,,,,,,," EWC_0911"," EWC_093"," EWC_09_NOT_0911_093",
"Nuclear power",4,11.88,"Spine_820","e",,,,,,,,,,,,
"Oil (energy resource)",4,40.5,"Spine_821","e",,,,,"EWC_013",,,,,,,
"Raw phosphate",2,-820,"Spine_822","m",,,,,,,,," EWC_0911"," EWC_093"," EWC_09_NOT_0911_093",
